ip_range,ports,country_code,responses,datetime
20.89.0.0-20.89.255.255,"19132,25565",JP,0,2025-01-24 15:58:54.765469
119.150.0.0-119.150.255.255,"19132,25565",JP,0,2025-01-24 16:01:08.536742
129.249.0.0-129.249.255.255,"19132,25565",JP,0,2025-01-24 16:03:22.685709
20.78.0.0-20.78.255.255,"19132,25565",JP,0,2025-01-24 16:05:36.601057
202.48.0.0-202.48.255.255,"19132,25565",JP,0,2025-01-24 16:07:50.690083
155.160.0.0-155.160.255.255,"19132,25565",JP,0,2025-01-24 16:10:04.754935
152.165.0.0-152.165.255.255,"19132,25565",JP,0,2025-01-24 16:12:19.821020
202.32.0.0-202.32.255.255,"19132,25565",JP,7,2025-01-24 16:14:34.170557
150.249.0.0-150.249.255.255,"19132,25565",JP,1,2025-01-24 16:16:48.678552
202.13.0.0-202.13.255.255,"19132,25565",JP,0,2025-01-24 16:19:03.009255
150.246.0.0-150.246.255.255,"19132,25565",JP,0,2025-01-24 16:21:16.622572
202.11.0.0-202.11.255.255,"19132,25565",JP,0,2025-01-24 16:23:30.952803
131.129.0.0-131.129.255.255,"19132,25565",JP,0,2025-01-24 16:25:44.771063
8.255.0.0-8.255.255.255,"19132,25565",JP,0,2025-01-24 16:27:59.108487
160.233.0.0-160.233.255.255,"19132,25565",JP,0,2025-01-24 16:30:12.786191
124.245.0.0-124.245.255.255,"19132,25565",JP,0,2025-01-24 16:32:27.156341
160.215.0.0-160.215.255.255,"19132,25565",JP,0,2025-01-24 16:34:40.689986
74.226.0.0-74.226.255.255,"19132,25565",JP,0,2025-01-24 16:36:54.549454
130.87.0.0-130.87.255.255,"19132,25565",JP,0,2025-01-24 16:39:08.604839
157.205.0.0-157.205.255.255,"19132,25565",JP,0,2025-01-24 16:41:22.618291
130.69.0.0-130.69.255.255,"19132,25565",JP,0,2025-01-24 16:43:37.185644
157.192.0.0-157.192.255.255,"19132,25565",JP,0,2025-01-24 16:45:50.947078
159.80.0.0-159.80.255.255,"19132,25565",JP,0,2025-01-24 16:48:04.667658
159.211.0.0-159.211.255.255,"19132,25565",JP,0,2025-01-24 16:50:18.749375
130.153.0.0-130.153.255.255,"19132,25565",JP,0,2025-01-24 16:55:19.648770
159.228.0.0-159.228.255.255,"19132,25565",JP,0,2025-01-24 16:57:34.216443
157.147.0.0-157.147.255.255,"19132,25565",JP,0,2025-01-24 16:59:47.573659
157.82.0.0-157.82.255.255,"19132,25565",JP,0,2025-01-24 17:02:01.659362
160.21.0.0-160.21.255.255,"19132,25565",JP,0,2025-01-24 17:04:15.748794
124.159.0.0-124.159.255.255,"19132,25565",JP,0,2025-01-24 21:20:08.672550
20.243.0.0-20.243.255.255,"19132,25565",JP,0,2025-01-24 21:22:22.706320
160.74.0.0-160.74.255.255,"19132,25565",JP,0,2025-01-24 21:26:08.706215
210.20.0.0-210.20.255.255,"19132,25565",JP,0,2025-01-24 21:28:23.205273
160.86.0.0-160.86.255.255,"19132,25565",JP,1,2025-01-24 21:30:38.216912
20.222.0.0-20.222.255.255,"19132,25565",JP,0,2025-01-24 21:32:52.065970
90.149.0.0-90.149.255.255,"19132,25565",JP,0,2025-01-24 21:35:06.154298
130.62.0.0-130.62.255.255,"19132,25565",JP,0,2025-01-24 21:37:19.955253
119.72.0.0-119.72.255.255,"19132,25565",JP,0,2025-01-24 21:39:33.763229
123.230.0.0-123.230.255.255,"19132,25565",JP,0,2025-01-24 21:41:47.610729
74.176.0.0-74.176.255.255,"19132,25565",JP,0,2025-01-24 21:44:01.669626
61.89.0.0-61.89.255.255,"19132,25565",JP,0,2025-01-24 21:46:15.707331
150.147.0.0-150.147.255.255,"19132,25565",JP,0,2025-01-24 21:48:30.013250
217.178.0.0-217.178.255.255,"19132,25565",JP,0,2025-01-24 21:50:43.568645
146.117.0.0-146.117.255.255,"19132,25565",JP,0,2025-01-24 21:52:57.630670
148.161.0.0-148.161.255.255,"19132,25565",JP,0,2025-01-24 21:55:10.769859
148.109.0.0-148.109.255.255,"19132,25565",JP,0,2025-01-24 21:57:23.770877
146.160.0.0-146.160.255.255,"19132,25565",JP,0,2025-01-24 21:59:37.755989
129.60.0.0-129.60.255.255,"19132,25565",JP,0,2025-01-24 22:01:52.287560
147.157.0.0-147.157.255.255,"19132,25565",JP,0,2025-01-24 22:04:05.611448
59.190.0.0-59.190.255.255,"19132,25565",JP,0,2025-01-24 22:06:20.242349
